Biochar Application:<br>499700 km<sup>2</sup>, Argentina, 3.6244222816832887,%,1490,km2
Biochar Application:<br>499700 km<sup>2</sup>, Australia and New Zealand, 2.7626084163186637,%,860,km2
Biochar Application:<br>499700 km<sup>2</sup>, Brazil, 2.73145108338805,%,2080,km2
Biochar Application:<br>499700 km<sup>2</sup>, Canada, 2.925104468016715,%,1820,km2
Biochar Application:<br>499700 km<sup>2</sup>, Central America and Caribbean, 3.062117235345582,%,350,km2
Biochar Application:<br>499700 km<sup>2</sup>, Central Asia, 4.2160278745644595,%,1210,km2
Biochar Application:<br>499700 km<sup>2</sup>, China, 4.0541794229520365,%,4370,km2
Biochar Application:<br>499700 km<sup>2</sup>, Colombia, 0.9230769230769231,%,30,km2
Biochar Application:<br>499700 km<sup>2</sup>, Eastern Africa, 5.478599221789883,%,3520,km2
Biochar Application:<br>499700 km<sup>2</sup>, Eastern Europe, 3.0090563832895123,%,1030,km2
Biochar Application:<br>499700 km<sup>2</sup>, India, 2.0454697874052714,%,3050,km2
Biochar Application:<br>499700 km<sup>2</sup>, Indonesia, 4.15335463258786,%,1430,km2
Biochar Application:<br>499700 km<sup>2</sup>, Japan, 1.0248901903367496,%,70,km2
Biochar Application:<br>499700 km<sup>2</sup>, Mexico, 3.192702394526796,%,560,km2
Biochar Application:<br>499700 km<sup>2</sup>, Middle East, 3.503460207612457,%,810,km2
Biochar Application:<br>499700 km<sup>2</sup>, Northeastern EU, 2.6628895184135977,%,940,km2
Biochar Application:<br>499700 km<sup>2</sup>, Northern Africa, 4.594594594594595,%,850,km2
Biochar Application:<br>499700 km<sup>2</sup>, Northern South America, 1.4760147601476015,%,40,km2
Biochar Application:<br>499700 km<sup>2</sup>, Other Europe, 3.4117647058823533,%,870,km2
Biochar Application:<br>499700 km<sup>2</sup>, Pakistan, 7.044830741079597,%,770,km2
Biochar Application:<br>499700 km<sup>2</sup>, Russia, 2.143675339551628,%,2620,km2
Biochar Application:<br>499700 km<sup>2</sup>, South Africa, 4.893964110929853,%,300,km2
Biochar Application:<br>499700 km<sup>2</sup>, South Asia, 3.721910112359551,%,530,km2
Biochar Application:<br>499700 km<sup>2</sup>, South Korea, 2.4154589371980677,%,50,km2
Biochar Application:<br>499700 km<sup>2</sup>, Southeast Asia, 5.259572148794113,%,3860,km2
Biochar Application:<br>499700 km<sup>2</sup>, Southern Africa, 5.468931812892716,%,2350,km2
Biochar Application:<br>499700 km<sup>2</sup>, Southern South America, 2.743410435718128,%,510,km2
